Test Data
16
133
Percentage_Povety	Per_Captial_Income	Percentage_Female	Percentage_Children	Percentage_Elderly	Percentage_Low_Education	Percentage_Umemployed	Percentage_Black	Percentage_Asian	Percentage_Hispanic	Percentage_Female_Headed_Households	Percentage_Single_Parent_Households	Percentage_Disables	Percentage_English_Deficiency	Percentage_Household_With_No_Vehichles	Percentage_Renters
191130016003	-0.030	-0.106	0.753	-0.677	1.048	-0.869	-1.002	-0.013	-0.096	-0.016	-0.115	-0.180	-0.103	1.608	-0.364	-0.568
191130016004	-1.022	1.972	0.344	0.236	1.075	-1.294	-0.946	-0.462	-0.288	-0.698	-1.369	-1.421	-0.857	0.938	-0.370	-1.127
191130016005	-0.540	2.716	0.139	0.676	-0.211	-1.427	0.033	-0.357	-0.063	-0.163	-1.102	-1.199	-1.389	0.698	-0.830	-1.073
191130017001	-0.600	3.470	0.004	0.937	-0.217	-0.569	-0.126	0.222	-0.298	0.026	-0.632	-0.613	-0.545	0.833	-0.605	-0.229
191130017002	0.845	-0.106	-0.003	1.344	-0.983	-0.494	0.220	0.775	0.760	-0.334	0.806	0.516	-0.753	0.083	-0.541	-0.743
191130017003	2.855	-1.844	0.083	1.894	-1.461	1.739	2.533	4.154	0.274	2.804	2.529	2.983	1.726	-0.235	1.586	1.499
191130017004	-0.244	2.037	0.310	1.220	-0.474	-0.845	-0.358	0.143	-0.253	-0.314	-0.270	-0.481	-1.503	-0.709	-0.626	-0.886
191130017005	2.619	-0.869	-0.120	1.566	-0.926	1.567	2.940	5.117	0.348	2.406	3.483	2.970	2.748	-0.306	-0.579	0.701
191130017006	1.687	-1.462	0.803	1.531	-0.757	1.619	2.219	3.952	0.312	4.228	2.388	2.553	0.315	4.841	0.147	0.664
191130018001	0.378	0.309	0.306	-0.167	-0.070	-1.048	0.285	0.009	-0.375	-0.431	0.143	-0.044	-0.709	-0.003	-0.519	0.023
191130018002	1.094	-0.296	3.434	-1.165	1.702	-0.783	-0.370	0.734	-0.135	-0.267	0.217	-0.144	-0.413	-0.709	0.252	1.067
191130018003	0.897	-1.143	-0.198	0.738	-1.380	0.474	1.125	1.546	0.118	1.529	1.057	0.799	0.946	1.302	1.289	1.630
191130019001	4.186	-2.305	-0.107	-2.413	-2.130	3.336	5.534	0.456	1.003	2.863	1.399	1.154	0.784	1.323	1.516	1.662
191130019002	1.593	-1.645	-1.646	-1.510	-0.194	1.880	-0.151	3.064	0.182	1.220	0.001	0.212	2.346	0.701	4.941	3.124
191130019003	1.348	0.243	-2.823	-3.330	0.746	1.699	0.592	0.983	7.724	0.282	-1.570	-1.513	1.555	-0.709	0.882	3.401
191130022001	0.992	-0.687	-3.478	-0.632	-1.174	1.710	1.912	1.482	1.930	3.439	2.061	1.937	1.510	5.488	3.311	2.074
191130022002	0.435	-1.442	-0.430	1.283	-0.955	1.471	1.521	0.588	0.883	1.349	1.553	1.744	0.891	0.107	0.449	0.743
191130023001	-0.350	-1.020	0.776	0.406	0.017	0.892	0.498	0.132	0.467	0.520	1.885	2.046	0.972	2.107	0.146	0.551
191130023002	-0.863	-0.537	-0.285	0.492	-0.158	-0.525	-0.417	-0.418	-0.319	-0.670	0.110	0.676	-0.189	-0.709	-0.392	-0.699
191130023003	-0.533	-0.210	1.280	-1.372	2.763	0.403	0.164	-0.398	-0.615	-0.583	-0.327	-0.522	0.294	-0.709	0.543	-0.402
191130023004	-0.428	-0.410	0.439	-0.087	1.081	-0.187	-0.013	0.200	-0.434	0.274	0.270	0.458	-0.328	0.668	-0.246	-0.230
191130024001	-0.437	-0.185	0.251	-0.302	0.453	0.137	0.270	-0.239	-0.596	0.398	1.170	0.912	1.622	0.781	-0.056	-0.382
191130024002	-0.595	-0.476	0.953	-1.259	1.892	0.892	0.888	-0.339	-0.419	-1.041	-0.156	-0.158	1.768	-0.709	-0.148	-0.820
191130024003	-0.361	-0.383	-0.651	-1.248	0.951	1.158	-1.018	-0.289	0.526	-0.011	-0.337	-0.238	0.277	-0.307	-0.568	0.559
191130025001	1.106	-0.337	0.001	0.229	-0.318	1.402	-1.020	-0.014	-0.366	-0.236	1.055	1.239	1.433	0.510	0.401	0.208
191130025002	2.005	-1.329	0.312	-0.335	0.083	1.047	-0.414	0.012	-0.261	0.647	0.717	0.946	2.434	0.024	1.213	0.344
191130025003	0.175	-0.650	-0.336	-0.270	0.079	0.287	0.022	-0.447	-0.712	0.720	0.366	0.846	0.209	-0.709	0.223	-0.283
191130026001	1.496	-0.872	0.927	-0.740	0.729	0.813	-0.613	0.216	-0.690	0.677	0.838	0.432	0.606	0.551	1.781	1.560
191130026002	0.859	-1.042	0.110	0.353	-0.216	1.521	0.491	-0.268	-0.686	0.171	0.451	0.731	1.442	0.500	0.688	-0.005
191130027001	2.560	-1.974	1.254	1.217	0.341	3.563	3.941	4.647	-0.654	3.525	3.228	2.775	2.207	-0.709	2.502	1.008
191130027002	3.726	-1.551	1.499	-0.724	1.483	3.147	0.117	3.165	3.199	0.925	0.469	0.101	4.357	0.403	6.472	2.559
191130028001	-0.667	0.209	0.454	-0.713	1.135	-0.091	0.360	0.422	-0.718	0.716	-0.081	-0.199	-0.348	-0.709	0.938	-0.184
191130028002	-0.187	-0.064	0.953	-0.325	1.211	-0.053	-0.394	0.111	-0.636	-0.041	-0.368	-0.298	0.166	0.199	0.856	-0.173
191130028003	0.496	0.513	-0.248	0.765	-0.315	-0.136	0.074	0.842	-0.697	0.411	0.668	0.572	-0.827	-0.709	-0.560	-0.073
191130029001	-0.464	0.110	0.047	-0.529	1.224	0.821	-0.223	-0.428	-0.248	0.104	0.053	0.154	0.857	1.691	-0.250	-0.809
191130029002	-0.102	-0.522	0.180	-1.383	2.349	1.247	-0.258	-0.540	-0.650	0.133	-0.618	-0.621	1.171	-0.709	-0.600	-0.724
191130029003	1.715	-1.050	1.340	1.220	-0.209	0.636	0.223	0.921	-0.510	0.170	3.372	2.612	0.058	0.511	-0.489	1.249
191130029004	-0.294	1.303	-2.555	-1.360	-0.894	0.030	-0.822	0.396	1.685	0.356	-0.028	0.082	1.002	-0.709	-0.090	1.915
191130030011	-1.047	0.088	-0.904	0.004	-0.016	-0.440	0.419	-0.305	0.513	0.090	-0.565	-0.500	-0.470	0.401	-0.288	-0.972
191130030012	-0.663	-0.214	0.283	0.444	-0.796	-0.682	-0.257	-0.319	0.880	0.105	0.197	0.261	0.054	0.155	-0.047	-0.515
191130030013	-0.484	-0.296	-0.488	0.335	-0.861	-0.373	-0.228	-0.369	-0.563	-1.032	1.214	1.597	-0.143	-0.709	-0.462	-1.075
191130030021	1.874	0.081	0.755	-0.641	-0.903	-0.059	0.193	-0.515	-0.590	-0.535	0.728	0.622	-0.242	-0.709	-0.299	-0.038
191130030022	0.348	-0.929	-1.402	0.559	-0.527	2.154	1.249	-0.085	-0.425	0.574	0.589	0.754	1.440	-0.709	-0.612	0.106
191130030023	1.323	-0.010	0.157	-0.166	-0.598	1.412	0.450	0.551	0.074	1.204	1.266	1.011	0.723	-0.709	-0.001	0.355
191130101001	0.249	-0.410	-1.372	0.084	-0.053	0.217	-0.324	-0.627	-0.764	-1.177	-0.797	-0.720	0.256	-0.599	-0.545	-0.342
191130101002	-0.482	-0.343	-1.221	0.272	0.114	-0.843	0.223	-0.584	-0.595	-1.147	-0.978	-0.595	-1.736	-0.709	-0.830	-0.548
191130101003	0.214	-0.402	0.589	1.277	0.403	0.176	-0.581	-0.627	-0.698	-1.094	-0.627	-0.266	-0.167	0.201	-0.057	-0.444
191130102001	-0.451	-0.759	-0.274	0.747	0.033	0.811	-0.549	-0.591	-0.764	-1.358	-0.524	-0.529	-0.459	-0.522	-0.543	-0.374
191130102002	-0.568	-0.173	-0.680	0.935	-0.474	0.007	-0.275	-0.544	-0.672	-0.693	-0.448	-0.349	-0.567	-0.646	-0.715	-0.555
191130102003	-0.519	-0.280	0.404	1.129	-0.365	0.013	-0.634	-0.513	-0.715	-1.269	-0.532	-0.357	-0.286	-0.309	-0.063	-0.436
191130103001	-0.533	-0.233	-0.698	1.066	-0.343	-0.439	-0.379	-0.627	-0.721	-1.218	-0.379	-0.328	-0.892	-0.183	-0.669	-0.447
191130103002	0.020	-0.728	-1.203	0.220	0.365	0.219	-0.499	-0.606	-0.543	-1.058	-0.826	-0.527	-0.188	-0.709	-0.569	-0.351
191130103003	-0.566	-0.461	1.017	0.239	0.950	1.237	0.002	-0.627	-0.718	-0.801	-0.401	-0.330	0.174	-0.239	0.476	-0.181
191130104001	-0.640	-0.199	-1.262	0.598	-0.154	-0.166	0.138	-0.579	-0.638	-1.168	-0.851	-0.731	-0.152	-0.709	-0.471	-0.632
191130104002	-0.270	-0.583	0.414	0.496	-0.166	-0.061	-0.767	-0.627	-0.407	-0.911	-0.499	-0.582	-0.109	-0.503	-0.130	-0.152
191130105001	0.012	-0.406	-0.392	0.701	-0.365	0.143	0.210	-0.462	-0.710	-0.605	0.697	0.731	-0.168	-0.709	-0.830	-0.860
191130105002	-0.251	-0.258	-1.035	-0.729	-1.014	-0.590	-0.382	-0.461	-0.565	-0.693	-1.087	-1.195	0.122	-0.646	-0.801	-0.877
191130106001	-0.627	0.828	-1.217	0.177	-0.493	-0.490	-0.504	-0.501	-0.198	-0.769	-0.982	-0.844	-0.739	-0.403	-0.659	-0.873
191130106003	-0.852	0.224	-0.615	1.537	-1.227	-0.521	-0.345	-0.511	-0.262	-0.988	-1.355	-1.221	-0.922	0.236	-0.526	-0.880
191130107001	-0.642	0.192	-0.201	0.380	0.223	-0.504	0.094	-0.481	-0.536	-0.387	-0.332	-0.322	-1.012	-0.633	-0.582	-0.811
191130107002	0.304	-0.054	-0.638	-0.127	0.704	0.640	0.501	-0.603	-0.515	-0.687	-1.055	-1.105	-0.152	-0.709	-0.555	-0.575
191130107003	0.094	-0.031	-0.672	0.825	-0.822	0.006	-0.310	-0.531	-0.671	-0.468	-0.233	-0.329	-0.067	-0.011	-0.714	-0.152
191130108001	-0.006	0.455	0.275	0.318	0.241	0.078	-0.326	-0.573	-0.519	-1.197	-0.237	-0.192	-0.592	0.316	0.278	0.041
191130108002	-0.555	-1.317	2.028	-1.100	-1.078	-1.535	0.006	-0.379	-0.219	0.103	-0.799	-1.002	-1.274	-0.403	-0.207	-0.189
191130108004	-0.202	-0.051	-0.225	1.509	-1.166	-0.579	0.628	-0.528	-0.402	-0.546	0.351	0.551	-1.082	0.535	-0.608	-0.558
191130108005	-0.120	-0.559	-0.459	1.105	-0.404	-0.089	-0.461	-0.555	-0.711	-0.474	-0.209	-0.287	-0.729	-0.325	-0.071	-0.146
